No,Company,Ticker Symbol,Class
158,Kimberly Clark Corp,KMB,Stock
159,Autozone Inc,AZO,Stock
160,Public Storage,PSA,Stock
161,Us Bancorp,USB,Stock
162,Phillips 66,PSX,Stock
163,Ecolab Inc,ECL,Stock
164,Estee Lauder Companies Cl A,EL,Stock
165,Arthur J Gallagher & Co,AJG,Stock
166,Monster Beverage Corp,MNST,Stock
167,Johnson Controls Internation,JCI,Stock
168,Dominion Energy Inc,D,Stock
169,Biogen Inc,BIIB,Stock
170,Valero Energy Corp,VLO,Stock
171,Capital One Financial Corp,COF,Stock
172,American Electric Power,AEP,Stock
173,Occidental Petroleum Corp,OXY,Stock
174,Transdigm Group Inc,TDG,Stock
175,Truist Financial Corp,TFC,Stock
176,Cintas Corp,CTAS,Stock
177,Te Connectivity Ltd,TEL,Stock
178,Arista Networks Inc,ANET,Stock
179,Trane Technologies Plc,TT,Stock
180,Moderna Inc,MRNA,Stock
181,American International Group,AIG,Stock
182,Corteva Inc,CTVA,Stock
183,Paccar Inc,PCAR,Stock
184,Archer Daniels Midland Co,ADM,Stock
185,Travelers Cos Inc,TRV,Stock
186,Constellation Brands Inc A,STZ,Stock
187,On Semiconductor,ON,Stock
188,Exelon Corp,EXC,Stock
189,Iqvia Holdings Inc,IQV,Stock
190,Msci Inc,MSCI,Stock
191,Idexx Laboratories Inc,IDXX,Stock
192,Carrier Global Corp,CARR,Stock
193,Aflac Inc,AFL,Stock
194,Welltower Inc,WELL,Stock
195,Yum Brands Inc,YUM,Stock
196,Realty Income Corp,O,Stock
197,Hershey Co,HSY,Stock
198,Hilton Worldwide Holdings In,HLT,Stock
199,Nucor Corp,NUE,Stock
200,Hess Corp,HES,Stock
201,Dow Inc,DOW,Stock
202,Copart Inc,CPRT,Stock
203,Sysco Corp,SYY,Stock
204,Williams Cos Inc,WMB,Stock
205,Ross Stores Inc,ROST,Stock
206,Otis Worldwide Corp,OTIS,Stock
207,L3harris Technologies Inc,LHX,Stock
208,Simon Property Group Inc,SPG,Stock
209,Dollar General Corp,DG,Stock
210,Rockwell Automation Inc,ROK,Stock
211,Paychex Inc,PAYX,Stock
