Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,38.959999,39.020000,38.810001,38.950001,38.950001,157665
2018-06-04,39.049999,39.240002,38.980000,39.250000,39.250000,139371
2018-06-05,39.200001,39.279999,39.099998,39.119999,39.119999,92055
2018-06-06,39.169998,39.169998,38.959999,39.150002,39.150002,131097
2018-06-07,39.290001,39.529999,39.230000,39.250000,39.250000,148395
2018-06-08,39.250000,39.400002,39.099998,39.340000,39.340000,92772
2018-06-11,39.400002,39.639999,39.400002,39.610001,39.610001,168611
2018-06-12,39.759998,39.759998,39.509998,39.580002,39.580002,745997
2018-06-13,39.759998,39.880001,39.709999,39.740002,39.740002,163685
2018-06-14,39.349998,39.849998,39.299999,39.740002,39.740002,150545
2018-06-15,40.009998,40.060001,39.660000,39.660000,39.660000,175306
2018-06-18,39.790001,39.939999,39.689999,39.810001,39.810001,165874
2018-06-19,39.549999,39.820000,39.450001,39.820000,39.820000,109917
2018-06-20,40.070000,40.139999,39.919998,39.919998,39.919998,166514
2018-06-21,40.090000,40.099998,39.349998,39.470001,39.470001,240297
2018-06-22,39.380001,39.520000,39.369999,39.470001,39.470001,352286
2018-06-25,39.290001,39.340000,38.759998,38.759998,38.759998,185373
2018-06-26,38.980000,39.080002,38.840000,39.009998,39.009998,120242
2018-06-27,38.959999,39.580002,38.889999,39.459999,39.459999,183687
2018-06-28,39.240002,39.369999,39.029999,39.259998,39.259998,180635
2018-06-29,39.500000,39.619999,39.310001,39.389999,39.389999,195251
2018-07-02,38.980000,39.259998,38.910000,39.200001,39.200001,121815
2018-07-03,39.389999,39.430000,39.299999,39.330002,39.330002,146154
2018-07-04,39.029999,39.169998,39.029999,39.060001,39.060001,124820
2018-07-05,38.950001,39.209999,38.939999,39.119999,39.119999,98473
2018-07-06,39.320000,39.430000,39.139999,39.419998,39.419998,201119
2018-07-09,39.540001,39.820000,39.400002,39.840000,39.840000,141245
2018-07-10,39.970001,40.070000,39.830002,39.930000,39.930000,98119
2018-07-11,39.689999,39.930000,39.630001,39.849998,39.849998,300621
