Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,1434.880249,1437.297974,1412.516968,1418.964111,1051.669434,8476269
2018-04-17,1421.583252,1425.411255,1409.696411,1422.993530,1054.656128,7119895
2018-04-18,1426.418457,1437.700928,1417.755249,1432.059692,1061.375244,11550718
2018-04-19,1434.275879,1434.477417,1414.531738,1417.755249,1050.773560,7421527
2018-04-20,1429.440552,1445.558350,1424.605347,1440.521484,1067.646729,9710817
2018-04-23,1443.543579,1456.437744,1436.895020,1455.631958,1078.846191,7825597
2018-04-24,1455.631958,1478.398193,1452.609741,1472.958374,1091.687500,10374275
2018-04-25,1477.189331,1485.651123,1406.069946,1422.590576,1054.357178,18266224
2018-04-26,1411.912598,1447.371582,1411.711060,1447.371582,1072.723755,11785936
2018-04-27,1453.818604,1478.196655,1449.587646,1475.980469,1093.927368,11323954
2018-04-30,1485.852539,1488.673218,1468.928955,1472.152588,1091.090332,9765239
2018-05-01,1480.815796,1488.270264,1467.115845,1478.599609,1095.868896,4556818
2018-05-02,1483.435059,1485.852539,1470.137817,1470.742310,1090.044922,7460463
2018-05-03,1474.368652,1478.196655,1462.481934,1463.287842,1084.520264,10132462
2018-05-04,1473.361450,1480.614380,1459.258423,1480.009888,1096.913940,9137450
2018-05-08,1484.039429,1484.039429,1469.734863,1482.226074,1098.556396,10166909
2018-05-09,1482.226074,1489.680542,1466.309937,1489.479126,1103.932129,8692605
2018-05-10,1479.808472,1490.083496,1472.555542,1487.867310,1120.605591,6966445
2018-05-11,1480.815796,1488.673218,1469.130493,1477.189331,1112.563354,7910864
2018-05-14,1490.889404,1497.537964,1484.643799,1487.262939,1120.150269,7695549
2018-05-15,1481.420166,1486.859985,1477.592285,1480.815796,1115.294678,9041826
2018-05-16,1474.167358,1492.098145,1473.159912,1489.076172,1121.516235,9453199
2018-05-17,1489.680542,1502.574829,1484.039429,1501.365845,1130.772461,7761518
2018-05-18,1497.940918,1508.820435,1492.501221,1499.149658,1129.102905,9993051
2018-05-21,1505.999756,1511.842407,1498.746826,1507.812988,1135.627808,5868324
2018-05-22,1505.999756,1527.154297,1505.193848,1520.304321,1145.036011,9997984
2018-05-23,1512.043945,1530.982178,1512.043945,1518.692505,1143.822021,12419383
